user_id,insta_nb_orders,insta_avg_days_between,insta_avg_basket_size,insta_reorder_rate,insta_preferred_day,insta_preferred_hour
1,10,17.6,5.9,0.6949152542372882,1,10.3
2,14,14.142857142857142,13.928571428571429,0.47692307692307695,1,10.571428571428571
3,12,11.083333333333334,7.333333333333333,0.625,0,16.416666666666668
4,5,11.0,3.6,0.05555555555555555,4,12.6
5,4,10.0,9.25,0.3783783783783784,3,16.0
6,3,6.0,4.666666666666667,0.14285714285714285,2,17.333333333333332
7,20,10.15,10.3,0.6699029126213593,0,13.6
8,3,20.0,16.333333333333332,0.2653061224489796,1,2.6666666666666665
9,3,12.0,25.333333333333332,0.23684210526315788,0,14.333333333333334
10,5,15.8,28.6,0.34265734265734266,3,16.6
11,7,17.571428571428573,13.428571428571429,0.35106382978723405,5,10.857142857142858
12,5,20.0,14.8,0.17567567567567569,1,9.4
13,12,7.0,6.75,0.6419753086419753,6,14.916666666666666
14,13,20.384615384615383,16.153846153846153,0.3238095238095238,5,10.076923076923077
15,22,10.318181818181818,3.272727272727273,0.8194444444444444,1,11.363636363636363
16,6,18.166666666666668,11.666666666666666,0.34285714285714286,1,13.833333333333334
17,40,7.25,7.35,0.717687074829932,1,13.85
18,6,4.666666666666667,6.5,0.2564102564102564,0,16.333333333333332
19,9,8.444444444444445,22.666666666666668,0.3480392156862745,5,12.777777777777779
20,4,3.75,5.5,0.6818181818181818,2,12.0
21,33,9.606060606060606,6.212121212121212,0.5024390243902439,1,10.666666666666666
22,15,12.666666666666666,4.6,0.5072463768115942,5,13.666666666666666
23,4,11.0,10.0,0.1,5,11.75
24,18,14.666666666666666,2.111111111111111,0.5263157894736842,0,13.5
25,3,20.0,7.0,0.09523809523809523,1,17.666666666666668
26,12,11.5,4.666666666666667,0.39285714285714285,3,13.416666666666666
27,81,4.382716049382716,9.481481481481481,0.7135416666666666,2,12.469135802469136
28,24,11.208333333333334,7.625,0.4207650273224044,0,14.833333333333334
29,18,10.88888888888889,12.5,0.7022222222222222,5,10.666666666666666
30,8,18.875,1.375,0.45454545454545453,1,12.75
31,20,4.65,14.95,0.36454849498327757,3,11.7
32,5,16.2,22.8,0.2982456140350877,3,13.2
33,3,19.0,17.666666666666668,0.3584905660377358,1,16.333333333333332
34,5,16.0,6.4,0.1875,4,12.4
35,9,19.0,20.444444444444443,0.5108695652173914,3,15.88888888888889
36,37,9.45945945945946,4.135135135135135,0.6405228758169934,0,14.594594594594595
37,23,12.826086956521738,8.173913043478262,0.44680851063829785,5,14.956521739130435
